date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:11:37	166112/166112	---M--	200	added ('OK')	image/jpeg	etag:%22288e0-5af48d2ba34f0%22	http://www.geojeyouth.com/upload/banner/banner_4_20200915_0.jpg	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/upload/banner/banner_4_20200915_0.jpg	(from http://www.geojeyouth.com/web/)
00:11:38	15091/15091	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202020%2015:11:41%20GMT	http://www.geojeyouth.com/web/bbs_view?bbs=gongji&idx=29	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/bbs_view988d.html	(from http://www.geojeyouth.com/web/)
00:11:39	383663/383663	---M--	200	added ('OK')	image/jpeg	etag:%225daaf-5af48ce804078%22	http://www.geojeyouth.com/upload/banner/banner_3_20200915_0.jpg	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/upload/banner/banner_3_20200915_0.jpg	(from http://www.geojeyouth.com/web/)
00:11:39	240394/240394	---M--	200	added ('OK')	image/jpeg	etag:%223ab0a-5af48d2ba38d8%22	http://www.geojeyouth.com/upload/banner/bannerm_4_20200915_0.jpg	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/upload/banner/bannerm_4_20200915_0.jpg	(from http://www.geojeyouth.com/web/)
00:11:39	15089/15089	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202020%2015:11:42%20GMT	http://www.geojeyouth.com/web/bbs_view?bbs=gongji&idx=28	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/bbs_view2360.html	(from http://www.geojeyouth.com/web/)
00:11:39	453108/453108	---M--	200	added ('OK')	image/jpeg	etag:%226e9f4-5af48ce804460%22	http://www.geojeyouth.com/upload/banner/bannerm_3_20200915_0.jpg	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/upload/banner/bannerm_3_20200915_0.jpg	(from http://www.geojeyouth.com/web/)
00:11:39	15064/15064	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202020%2015:11:43%20GMT	http://www.geojeyouth.com/web/bbs_view?bbs=gongji&idx=27	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/bbs_view53cd.html	(from http://www.geojeyouth.com/web/)
00:11:39	17155/17155	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202020%2015:11:43%20GMT	http://www.geojeyouth.com/web/bbs_view?bbs=gongji&idx=26	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/bbs_view4b68.html	(from http://www.geojeyouth.com/web/)
00:11:40	18379/18379	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202020%2015:11:44%20GMT	http://www.geojeyouth.com/web/photo_view?bbs=gall&idx=19	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/photo_viewc0be.html	(from http://www.geojeyouth.com/web/)
00:11:40	146726/146726	---M--	200	added ('OK')	image/jpeg	etag:%2223d26-5b33db2c65a90%22	http://www.geojeyouth.com/upload/bbs/gall/tmb_data_file_19_20201104101416_0.jpg	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/upload/bbs/gall/tmb_data_file_19_20201104101416_0.jpg	(from http://www.geojeyouth.com/web/)
00:11:40	18372/18372	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202020%2015:11:44%20GMT	http://www.geojeyouth.com/web/photo_view?bbs=gall&idx=18	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/photo_view5e54.html	(from http://www.geojeyouth.com/web/)
00:11:41	17890/17890	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202020%2015:11:45%20GMT	http://www.geojeyouth.com/web/photo_view?bbs=gall&idx=17	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/photo_viewed20.html	(from http://www.geojeyouth.com/web/)
00:11:41	155938/155938	---M--	200	added ('OK')	image/jpeg	etag:%2226122-5b33dafa874d8%22	http://www.geojeyouth.com/upload/bbs/gall/tmb_data_file_18_20201104101323_0.jpg	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/upload/bbs/gall/tmb_data_file_18_20201104101323_0.jpg	(from http://www.geojeyouth.com/web/)
00:11:41	14285/14285	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202020%2015:11:45%20GMT	http://www.geojeyouth.com/web/vod_list	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/vod_list.html	(from http://www.geojeyouth.com/web/)
00:11:41	3416/3416	---M--	200	added ('OK')	image/gif	etag:%22d58-5af427ea506c0%22	http://www.geojeyouth.com/web/images/banner/img_banner01.gif	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/images/banner/img_banner01.gif	(from http://www.geojeyouth.com/web/)
00:11:41	3125/3125	---M--	200	added ('OK')	image/gif	etag:%22c35-5af427ea506c0%22	http://www.geojeyouth.com/web/images/banner/img_banner02.gif	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/images/banner/img_banner02.gif	(from http://www.geojeyouth.com/web/)
00:11:42	166665/166665	---M--	200	added ('OK')	image/jpeg	etag:%2228b09-5b1afc39661d8%22	http://www.geojeyouth.com/upload/bbs/gall/tmb_data_file_17_20201008_1.jpg	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/upload/bbs/gall/tmb_data_file_17_20201008_1.jpg	(from http://www.geojeyouth.com/web/)
00:11:42	3722/3722	---M--	200	added ('OK')	image/gif	etag:%22e8a-5af427ea506c0%22	http://www.geojeyouth.com/web/images/banner/img_banner03.gif	C:/Users/qjawl/Desktop/%ed%94%84%eb%a1%a0%ed%8a%b8%ec%97%94%eb%93%9c%20%ec%9e%90%eb%a3%8c/Cboard2/www.geojeyouth.com/web/images/banner/img_banner03.gif	(from http://www.geojeyouth.com/web/)
